year,cc,ex.rate
2012,NIO,0.0424687694057114
2013,NIO,0.0404485692188709
2014,NIO,0.0385210260600578
2015,NIO,0.0366889363745913
2016,NIO,0.0349391602083832
2017,NIO,0.03327709104251
2018,NIO,0.0316919228785269
2019,NIO,0.0302246800971978
2020,NIO,0.029115372547572
2021,NIO,0.0282681262475576
2022,NIO,0.0274451313816621
2023,NIO,0.0266456339034254
2024,NIO,0.0258695133252829
2025,NIO,0.0252290431508536
2026,NIO,0.0247740956833392
1980,NOK,0.202460734135774
1981,NOK,0.174232150635731
1982,NOK,0.154942187596612
1983,NOK,0.137053658796947
1984,NOK,0.122526585137595
1985,NOK,0.116317153921928
1986,NOK,0.135231555232483
1987,NOK,0.148424493010435
1988,NOK,0.153445949608784
1989,NOK,0.144833376844215
1990,NOK,0.159751366590252
1991,NOK,0.154251172021344
1992,NOK,0.160913942193574
1993,NOK,0.1409621229834
1994,NOK,0.141691827074717
1995,NOK,0.157849490052838
1996,NOK,0.155043757763092
1997,NOK,0.141375050379379
1998,NOK,0.132535807011812
1999,NOK,0.128218600131154
2000,NOK,0.113612600180458
2001,NOK,0.111213889830021
2002,NOK,0.125253838811554
2003,NOK,0.141238112282997
2004,NOK,0.14834942961941
2005,NOK,0.155218870446585
2006,NOK,0.155924685965925
2007,NOK,0.170599999148998
2008,NOK,0.177304964539007
2009,NOK,0.159024575042825
2010,NOK,0.165448701128313
2011,NOK,0.17842466734463
2012,NOK,0.171895210944485
2013,NOK,0.170213140055092
2014,NOK,0.158688363829713
2015,NOK,0.124005438468486
2016,NOK,0.119047496086374
2017,NOK,0.120894707135444
2018,NOK,0.122963504881961
2019,NOK,0.113636299947597
2020,NOK,0.106203987168407
2021,NOK,0.115691763551045
2022,NOK,0.113141669587367
2023,NOK,0.113121724701866
2024,NOK,0.112958755558034
2025,NOK,0.112621919612845
2026,NOK,0.11206103140701
1980,NPR,0.0833179927101359
1981,NPR,0.083338580693911
1982,NPR,0.0773009680681982
1983,NPR,0.0724971516322386
1984,NPR,0.0648363385059999
1985,NPR,0.0562328371783884
1986,NPR,0.0511646950443798
1987,NPR,0.0463018487566506
1988,NPR,0.0453365542523548
1989,NPR,0.0394870156542376
1990,NPR,0.0350780431305499
1991,NPR,0.0320663441603317
1992,NPR,0.023615535244559
1993,NPR,0.0220495814104497
1994,NPR,0.0203020984968678
1995,NPR,0.0200422333092921
1996,NPR,0.0181911627023877
1997,NPR,0.0175449298348046
1998,NPR,0.0162670769097429
1999,NPR,0.0147154465734236
2000,NPR,0.0140662106045185
2001,NPR,0.013341601665818
2002,NPR,0.0130076842818738
